,unit_id,structure,is_qc_pass,spike_times
0,759434_2025-02-04_B-2,CP,True,"[  20.31891674   20.34118332   20.516316   ... 7024.46979038 7024.50252359
 7024.55115674]"
1,759434_2025-02-04_B-12,CP,True,"[  23.0383066    23.17877274   23.32363887   23.50933817   35.173128
   37.08992085   53.87349158   57.67854405   57.78317699   57.88330995
   57.95214303   58.22584201   63.62198855   82.62251767   91.67505057
  121.2108404   142.02139611  145.89091501  146.97611096  151.87512602
  155.40921284  170.7884888   170.83422197  171.62505235  185.73463305
  187.62085935  199.3496156   199.66561442  202.6827365   205.62232554
  207.64611799  207.99975     208.66818084  219.34034103  225.66158412
  225.79548362  234.91384961  240.30086285  271.5557796   271.65327923
  271.89437833  272.07997764  272.41504306  276.7634935   277.45412426
  278.97245193  279.43448354  284.71119719  343.55114438  356.09489759
  356.62736227  370.49341055  387.62534664  389.72650547  404.58185006
  412.65961993  413.01781859  440.45784957  449.54328235  462.32746799
  462.5579338   462.91166581  466.33518638  467.48928207  468.11251308
  468.17124619  468.81407713  476.19814959  476.36161564  484.41361894
  491.61195876  501.06039018  505.23267462  505.9077721   523.98197135
  535.04769674  538.4441174   563.90685576  582.4459866   593.37054585
  604.57610405  605.15640189  629.73574354  630.91453914  631.91070209
  634.36329294  638.94727585  639.3338744   656.23554469  665.32247746
  667.16447059  668.01540075  672.1660186   672.97621558  682.74211249
  683.57190939  688.84548972  713.67683043  713.83972982  722.75002992
  727.93334392  735.41818266  741.1643279   741.33842725  742.68485556
  769.70322144  772.92457609  793.88579791  797.94238277  800.01777503
  829.9264968   837.85350057  865.2264318   880.06414312  899.4588041
  899.7640363   931.40068496  941.20768171  977.01358148 1027.66602588
 1027.76505884 1046.75445467 1070.616299   1076.4779438  1077.10910811
 1084.06518217 1093.66704635 1145.04672136 1148.14657647 1148.39354221
 1153.06952477 1199.49508493 1208.04025306 1208.2620189  1242.9872227
 1246.25134386 1312.7719624  1312.96226169 1319.82323609 1322.36345995
 1324.62068486 1326.11851261 1328.5079037  1331.92282429 1339.47022947
 1339.85232805 1343.54481428 1345.24157461 1347.19330067 1347.83103162
 1351.50631791 1357.82699433 1358.0767934  1365.89669757 1369.14168546
 1377.07212255 1386.42152101 1390.85880445 1394.18522538 1415.68457852
 1415.75947824 1429.69762625 1447.36232702 1458.18065334 1470.24904165
 1470.7370065  1479.58874015 1508.13236701 1519.30179201 1534.90880046
 1562.40643123 1576.76614433 1584.61481505 1584.73778126 1598.40383029
 1615.88876506 1674.15111441 1681.36668749 1697.23056165 1703.77163725
 1723.91086213 1724.56419303 1750.90306144 1770.03672341 1813.66752733
 1871.77987723 1872.71310708 1881.05620929 1901.16046763 1964.64973081
 1971.69893785 1995.19775019 2115.01223661 2118.25325785 2118.27972442
 2125.35816468 2180.61795855 2190.2289227  2193.84770921 2194.10354158
 2194.38104055 2224.78309381 2228.01001511 2241.69593073 2242.54539422
 2245.51054983 2247.54547557 2275.20943905 2276.95356588 2298.92375059
 2303.81079903 2308.03594994 2316.61298461 2317.49391466 2319.7436396
 2322.83982805 2327.26597821 2327.3754778  2328.61273985 2345.69967611
 2346.31730714 2352.53681728 2369.53385387 2383.18743628 2384.33409867
 2387.60661979 2390.29127645 2398.54834565 2399.25017636 2410.33146836
 2411.56656375 2416.2288797  2416.60161164 2416.73544447 2420.78816269
 2451.27148232 2455.09490139 2463.06297167 2468.49198475 2475.57459166
 2490.28477012 2492.07759677 2495.09485218 2522.94208164 2525.17543998
 2526.5288016  2527.32936528 2529.42902411 2540.06025112 2542.36444253
 2542.79640758 2552.88103663 2553.73786677 2574.72175516 2574.88052124
 2575.17108682 2585.46081511 2605.03810875 2622.14534494 2622.85110897
 2629.34508475 2629.65261693 2643.06890022 2660.79530077 2665.39525027
 2672.53632364 2674.9676479  2679.18713216 2681.69148949 2682.23305413
 2686.47137166 2689.97609192 2691.85241825 2697.48533057 2701.59831523
 2702.4025789  2718.04232056 2723.30703426 2727.34105254 2752.5269586
 2761.11795988 2768.61773191 2842.27942381 2857.48376709 2859.23262724
 2863.47611141 2895.54699178 2897.67058386 2930.16132933 2950.03428853
 2954.17540642 2983.20359814 2988.85081041 3002.13839418 3015.56331077
 3017.75046928 3070.69807178 3071.40136915 3077.7782787  3083.62092357
 3083.90312252 3097.99416996 3121.97421384 3122.35891241 3122.69547782
 3196.06953746 3197.91339725 3205.4139026  3230.43024262 3233.31449853
 3237.32988355 3237.57641597 3267.23827199 3270.28982727 3273.73568109
 3275.54120769 3295.46253338 3295.94229825 3307.18795631 3308.57425114
 3322.43129945 3323.38746255 3330.6561021  3337.86414188 3346.06931127
 3361.58358674 3399.09391349 3403.51156367 3409.18224252 3417.53511136
 3424.39171912 3425.26964918 3431.63705876 3434.95004641 3438.34120042
 3447.10190108 3505.59998287 3522.1414545  3534.95094006 3537.74536297
 3557.1989904  3564.4032302  3569.548011   3577.69668061 3578.46491108
 3585.74655058 3589.40473694 3595.59438051 3604.49144733 3605.39631062
 3608.15110034 3611.02708962 3615.38714002 3623.43294334 3631.00314844
 3654.44409433 3657.13221764 3657.69021556 3660.32187241 3668.49897524
 3673.44792344 3680.7700628  3709.4463225  3709.92248739 3720.63761409
 3721.21901192 3723.01180523 3732.15523779 3742.77966483 3744.95019007
 3750.34916993 3753.37529197 3756.47324708 3801.87147774 3814.19409844
 3833.47355986 3848.97030206 3854.2940822  3859.02483122 3869.76125784
 3886.36189592 3898.85901597 3900.87327512 3909.48594299 3921.34369876
 3922.65209388 3929.07633659 3936.54004208 3941.86232223 3954.96430669
 3963.39370858 3966.15253162 3968.43035646 3973.34403813 4029.09136352
 4029.37739578 4042.35351405 4047.04882987 4051.19494773 4055.64456447
 4058.88068573 4064.62329765 4065.55156085 4068.43725009 4069.43054638
 4094.21495393 4095.66661518 4100.49419718 4127.8051953  4136.27679704
 4164.6056247  4171.06843392 4189.74999757 4237.80225167 4247.15311679
 4253.51885971 4254.33602333 4307.85669035 4316.20242589 4340.68470123
 4404.65902927 4408.11368305 4408.45611511 4424.4973886  4425.02941995
 4428.37220748 4430.13410091 4430.1904007  4438.30970375 4438.70373561
 4447.37876992 4476.45762812 4487.64675305 4490.04197745 4507.49307902
 4507.58561201 4507.72401149 4511.96909566 4515.2809833  4528.07616891
 4556.57222928 4556.87222816 4557.78119144 4567.76228754 4574.25269666
 4579.38681085 4580.37034051 4600.01743389 4603.59018723 4605.02564854
 4605.32078078 4616.19200689 4618.41673193 4629.01619239 4640.59438253
 4646.5285604  4682.2825937  4689.35860064 4689.67419946 4697.66506965
 4703.78674682 4704.86907611 4715.94266814 4720.16661905 4727.58012473
 4738.90814914 4773.88771867 4786.18193947 4787.62330076 4790.62312291
 4791.40415333 4794.35340899 4797.49063062 4804.2880386  4805.99633223
 4812.21287571 4815.51773005 4819.67421454 4824.07169814 4828.89261349
 4850.17596744 4860.43249584 4904.37849859 4913.96012951 4921.73383385
 4979.25068597 4982.9507055  4983.87510205 4989.35721494 4993.19600062
 5000.72723919 5018.16580748 5025.2460144  5049.13502529 5049.89552246
 5059.38295373 5076.57025629 5091.60733353 5114.53971466 5137.96182729
 5155.51326182 5167.85564912 5169.79524188 5186.31238027 5356.36544595
 5434.94141952 5435.04088582 5435.28425157 5479.24302094 5578.93944906
 5608.52807202 5642.86204395 5645.172502   5651.04038011 5666.71845496
 5670.65987359 5676.23421947 5677.38958182 5678.11761244 5687.44457765
 5699.87409795 5701.28145937 5701.28902601 5701.35382577 5701.42065885
 5716.62423547 5759.73090801 5765.31908717 5775.27905002 5783.50491933
 5840.2158078  5847.5955136  5874.88511181 5881.93251885 5914.44523091
 5969.80839107 6039.80766329 6042.19732105 6072.96053963 6078.77038462
 6130.47895841 6220.53325583 6238.74465457 6246.9039908  6260.55030656
 6310.75985261 6313.36377623 6347.12908361 6348.73847761 6349.46327491
 6359.90233597 6383.00594979 6395.64813596 6467.57473434 6467.82383341
 6468.25556513 6487.00469519 6518.59937734 6537.63177301 6540.9244274
 6560.67982038 6567.53139482 6595.8733891  6597.64304916 6674.45409598
 6705.14714816 6827.24942604 6845.23712561 6845.48859134 6875.60421233
 6878.47233497 6895.34713869 6902.58737835 6956.19484505 6964.8687127
 6968.79393139]"
2,759434_2025-02-04_B-15,CP,True,"[  20.29971681   20.38364983   20.38974981 ... 7022.47639782 7022.49233109
 7022.91549618]"
3,759434_2025-02-04_B-24,CP,True,"[  21.64601179   22.1879431    22.96204021 ... 7016.8233189  7020.21233959
 7023.1158621 ]"
4,759434_2025-02-04_B-27,CP,True,"[  20.28038355   20.59271572   20.65811547 ... 7022.68439704 7022.97992927
 7024.54365677]"
5,759434_2025-02-04_B-32,CP,True,"[  21.56921208   21.57434539   21.57877871 ... 7023.46289414 7023.98909217
 7024.66352299]"
6,759434_2025-02-04_B-36,CP,True,"[  45.90355464   46.11988717   46.42211937 ... 6945.60651788 6954.29421881
 6957.78077247]"
7,759434_2025-02-04_B-46,CP,True,"[  22.93257366   22.94207362   22.9572069  ... 7023.6147269  7023.62126021
 7024.96508853]"
8,759434_2025-02-04_B-52,CP,True,"[  20.30668345   20.35744993   22.03161035 ... 7024.35972412 7024.42485721
 7024.52479018]"
9,759434_2025-02-04_B-70,CP,True,"[  20.92334782   22.7694076    40.4367417  ... 7004.60466448 7007.1735549
 7023.19996178]"
